season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
fall_baseflow,pbd,FDOM Fluorescence,0.219815868,0.686689469,-7.89E-04,7.89E-04,0.142202537
monsoon,pbd,FDOM Fluorescence,0.355293044,0.994255262,-0.003852303,0.003345982,0.114868932
snowmelt,pbd,FDOM Fluorescence,0.676459709,2.037995071,-0.039873138,0.038545517,0.351062646
winter_baseflow,pbd,FDOM Fluorescence,0.905237384,1.704943757,-0.009826778,0.007597783,0.220541331
fall_baseflow,pbd,ORP,0.285684235,0.471143558,-4.53E-04,4.04E-04,0.043892461
monsoon,pbd,ORP,0.248059476,0.483406738,-7.81E-04,6.67E-04,0.052932532
snowmelt,pbd,ORP,0.255695343,0.364672577,-0.001218275,8.57E-04,0.023732652
winter_baseflow,pbd,ORP,0.073987389,0.332224854,-0.001118037,0.001138693,0.085614237
fall_baseflow,pbd,pH,7.2,8.8,-0.003050244,0.002877292,0.172366157
monsoon,pbd,pH,7.2,8.8,-0.005400823,0.004726782,0.279067226
snowmelt,pbd,pH,7.2,8.8,-0.006790691,0.006570797,0.191837313
winter_baseflow,pbd,pH,7.2,8.8,-0.003946958,0.004513453,0.118439042
fall_baseflow,pbd,Specific Conductivity,50,159.5162125,-0.286357717,0.269272644,19.08074837
monsoon,pbd,Specific Conductivity,30,144.4223152,-0.105571333,0.09399138,18.98536142
snowmelt,pbd,Specific Conductivity,30,117.4619896,-0.092306152,0.112334981,24.12384444
winter_baseflow,pbd,Specific Conductivity,30,112.5724588,-0.073448807,0.085261988,10.97763322
fall_baseflow,pbd,Temperature,0.918628159,16.43318895,-0.017152405,0.02761982,4.06911592
monsoon,pbd,Temperature,12.55447595,22.4832235,-0.012614531,0.026826071,1.98503436
snowmelt,pbd,Temperature,5.830989003,16.67645544,-0.010031452,0.016884706,2.504636747
winter_baseflow,pbd,Temperature,2.388107805,11.92282928,-0.011224108,0.02961991,2.541604468
fall_baseflow,pbd,Turbidity,0.546507354,10.51314091,-0.265684572,0.272739926,2.036446136
monsoon,pbd,Turbidity,0.452701043,158.334425,-2.25835248,1.947426267,15.36246666
snowmelt,pbd,Turbidity,4,158.334425,-48.36139568,56.49682507,40.13645916
winter_baseflow,pbd,Turbidity,5,70,-0.741995026,1.433321114,14.023643
fall_baseflow,pfal,Chl-a Fluorescence,0.001582327,0.008968496,-3.54E-04,3.96E-04,0.001515112
monsoon,pfal,Chl-a Fluorescence,0.004558913,0.036918839,-5.61E-04,5.54E-04,0.006489403
snowmelt,pfal,Chl-a Fluorescence,0.014282276,0.592556863,-0.026019719,0.021863736,0.054776066
fall_baseflow,pfal,Depth,0.137699272,0.151781198,-3.13E-04,3.25E-04,0.002906065
monsoon,pfal,Depth,0.135839748,0.950927438,-0.001650394,0.001753669,0.18863443
snowmelt,pfal,Depth,0.160191944,1.763133808,-0.003835042,0.003997757,0.428990619
fall_baseflow,pfal,DO,6.39982898,9.59401265,-0.040276347,0.007458743,0.800787431
monsoon,pfal,DO,7.333587921,9.08826408,-0.005210093,0.003580543,0.35870409
snowmelt,pfal,DO,8.358221,10.9395038,-0.006308981,0.004563298,0.667218633
fall_baseflow,pfal,FDOM Fluorescence,2.54E-04,0.006333784,-2.51E-04,2.11E-04,0.001655312
monsoon,pfal,FDOM Fluorescence,0.424992085,1.08897034,-0.001057116,0.001142208,0.096744669
snowmelt,pfal,FDOM Fluorescence,0.94811866,3.115695636,-0.010151625,0.006398987,0.613218707
fall_baseflow,pfal,ORP,-0.417870143,1.3274757,-0.056384308,0.061785176,0.354378473
monsoon,pfal,ORP,0.186739906,0.636048984,-0.004717115,0.004737052,0.048211214
snowmelt,pfal,ORP,0.103648997,0.334324766,-0.001157192,8.26E-04,0.053004129
fall_baseflow,pfal,pH,7,9,-0.729800881,0.813680385,3.965838333
monsoon,pfal,pH,7,9,-0.11894429,0.114844605,0.165444346
snowmelt,pfal,pH,7,9,-0.010955042,0.010775911,0.233997983
monsoon,pfal,Specific Conductivity,34.3730426,52.0447839,-0.043733195,0.041108734,4.372390998
snowmelt,pfal,Specific Conductivity,27.63355095,60.87693088,-0.235960313,0.221268931,8.885297792
fall_baseflow,pfal,Temperature,4.884682123,23.14691199,-0.055406803,0.224314097,4.682275925
monsoon,pfal,Temperature,8.5500942,16.4927324,-0.018420657,0.038629016,1.82058085
snowmelt,pfal,Temperature,0.281973923,12.2915072,-0.014219801,0.023347092,3.082423052
fall_baseflow,pfal,Turbidity,2.34427895,3.70465201,-0.008360475,0.013127782,0.345438193
monsoon,pfal,Turbidity,2.808789788,6.82249647,-0.226082963,0.22721065,0.627438617
snowmelt,pfal,Turbidity,0.314943722,29.13380606,-0.666971049,0.626984057,4.172953041
fall_baseflow,riverbend,Depth,0.419301889,1.043862169,-0.001089127,0.001255917,0.103081828
monsoon,riverbend,Depth,0.498168089,1.201603814,-0.001098522,0.001812584,0.128913827
snowmelt,riverbend,Depth,0.553556919,1.945514927,-0.002521705,0.003295124,0.310896466
winter_baseflow,riverbend,Depth,0.583668362,1.29205237,-0.001135143,0.001417988,0.146809187
fall_baseflow,riverbend,DO,6.579707885,12.44040942,-0.029952208,0.030673427,1.301152396
monsoon,riverbend,DO,5.718757272,12.31190903,-0.02955286,0.028738809,1.285322082
snowmelt,riverbend,DO,7.112977219,10.17683399,-0.02164759,0.022286398,0.583138485
winter_baseflow,riverbend,DO,6.385530577,13.68065857,-0.034002982,0.030680386,1.633035938
fall_baseflow,riverbend,ORP,0.283822,0.432288288,-4.90E-04,3.95E-04,0.032114682
monsoon,riverbend,ORP,0.235216983,0.466584359,-7.35E-04,6.65E-04,0.052912054
snowmelt,riverbend,ORP,0.303780063,0.476476703,-0.001006794,6.58E-04,0.037984173
winter_baseflow,riverbend,ORP,0.14216328,0.43698835,-8.86E-04,7.93E-04,0.068648111
fall_baseflow,riverbend,pH,7.675717497,8.719106941,-0.003554318,0.003863642,0.223390191
monsoon,riverbend,pH,7.471710014,9.056319061,-0.005564782,0.00514301,0.357305201
snowmelt,riverbend,pH,7.311958485,8.359096546,-0.005395298,0.005676208,0.203422028
winter_baseflow,riverbend,pH,7.606879053,9.011395283,-0.005850436,0.006344487,0.355559318
fall_baseflow,riverbend,Specific Conductivity,159.8324934,1081.192412,-1.327328491,0.917253337,266.1913157
monsoon,riverbend,Specific Conductivity,120.6506799,1180.036256,-2.254445862,0.86483134,264.5425612
snowmelt,riverbend,Specific Conductivity,62.16018204,773.0805981,-2.992452698,1.042850016,115.5645619
winter_baseflow,riverbend,Specific Conductivity,137.4942981,938.2220203,-1.49039327,0.843305562,213.4115573
fall_baseflow,riverbend,Temperature,1.768625804,17.80899137,-0.008966967,0.020109505,3.687947502
monsoon,riverbend,Temperature,13.21748467,23.51224768,-0.011801005,0.02263483,2.188903066
snowmelt,riverbend,Temperature,7.646322231,19.05543034,-0.01187135,0.020701285,2.386172974
winter_baseflow,riverbend,Temperature,1.747169137,16.10516357,-0.011617991,0.022244644,3.307021769
fall_baseflow,riverbend,Turbidity,2.01094247,24.472789,-0.798826844,0.8252136,3.591551459
monsoon,riverbend,Turbidity,1.407495513,184.7836548,-4.570589441,5.769313073,18.87224842
snowmelt,riverbend,Turbidity,3.726781309,1044.723297,-38.93862777,46.217632,120.1433843
winter_baseflow,riverbend,Turbidity,1.988673759,1228.458525,-61.36080522,52.65559607,164.4064355
fall_baseflow,riverbluffs,Chl-a Fluorescence,0.5216874,19.3941531,-0.370545241,0.433408352,4.806220548
monsoon,riverbluffs,Chl-a Fluorescence,0.03424541,2.4741956,-0.093733307,0.092257449,0.527223486
snowmelt,riverbluffs,Chl-a Fluorescence,0.028510508,18.07790962,-0.456456705,0.437794879,2.789356775
winter_baseflow,riverbluffs,Chl-a Fluorescence,0.213380154,31.20205244,-1.069009104,0.788980247,5.765062589
fall_baseflow,riverbluffs,Depth,0.110710962,0.810630523,-0.001245414,9.50E-04,0.131575117
monsoon,riverbluffs,Depth,0.317412178,0.97887838,-0.00133508,0.001561063,0.08768294
snowmelt,riverbluffs,Depth,0.250800498,1.515249419,-0.003078618,0.00449059,0.322951309
winter_baseflow,riverbluffs,Depth,0.163121039,0.976336865,-8.84E-04,0.001110585,0.155770028
fall_baseflow,riverbluffs,DO,6.166150475,13.97703972,-0.031899039,0.037481697,1.963179865
monsoon,riverbluffs,DO,5.403710041,11.06651493,-0.018632284,0.017218282,1.171930372
snowmelt,riverbluffs,DO,5.37069891,12.69401329,-0.044323424,0.051161876,0.965721449
winter_baseflow,riverbluffs,DO,5.989133759,14.7338773,-0.056941254,0.055841573,2.008340395
fall_baseflow,riverbluffs,FDOM Fluorescence,0.638743317,1.188947862,-0.002501093,0.001371857,0.154679838
fall_baseflow,riverbluffs,ORP,0.20429359,0.399700212,-0.001269563,7.89E-04,0.043531162
monsoon,riverbluffs,ORP,0.177734738,0.445618702,-0.001065754,7.07E-04,0.059305549
snowmelt,riverbluffs,ORP,-0.380391255,0.402863036,-0.004872799,0.003437552,0.159324819
winter_baseflow,riverbluffs,ORP,-0.023788118,0.303241298,-0.003943324,0.002456271,0.048652931
fall_baseflow,riverbluffs,pH,7.963733139,9.497612476,-0.006551328,0.007333834,0.367093825
monsoon,riverbluffs,pH,7.81546999,9.53181675,-0.002533122,0.002734898,0.434625657
snowmelt,riverbluffs,pH,7.764797974,9.020238342,-0.004126933,0.005083204,0.215953972
winter_baseflow,riverbluffs,pH,8.04024601,9.223872662,-0.008278376,0.010293953,0.267301555
fall_baseflow,riverbluffs,Specific Conductivity,271.1267572,1327.752347,-0.752029622,0.54212321,250.432533
monsoon,riverbluffs,Specific Conductivity,335.293934,1219.495946,-1.330436035,0.886942993,190.4403945
snowmelt,riverbluffs,Specific Conductivity,145.4378772,1184.112188,-4.36462793,2.094161407,285.4338499
winter_baseflow,riverbluffs,Specific Conductivity,435.4938336,1478.043496,-4.527001953,4.726507161,249.0362011
fall_baseflow,riverbluffs,Temperature,0.134111179,19.89855927,-0.011688004,0.018442367,4.544295923
monsoon,riverbluffs,Temperature,15.30349922,26.47694492,-0.015243256,0.02181483,2.465203038
snowmelt,riverbluffs,Temperature,9.016125107,23.01623047,-0.014587428,0.023914088,2.830294412
winter_baseflow,riverbluffs,Temperature,0.973693359,17.23451788,-0.017503201,0.026035384,3.486264145
fall_baseflow,riverbluffs,Turbidity,4.094763144,109.7723698,-2.311664469,2.701161504,17.11429642
fall_baseflow,salyer,Depth,0.19450249,0.428373233,-0.001146262,7.87E-04,0.064088751
monsoon,salyer,Depth,0.168413371,0.720132679,-0.001137654,0.001469568,0.124662797
snowmelt,salyer,Depth,0.260336317,1.369371556,-0.002512919,0.002474929,0.2688405
winter_baseflow,salyer,Depth,0.183284316,0.816643179,-0.001303681,0.001240469,0.125012701
fall_baseflow,salyer,DO,5.977100887,13.8606554,-0.022532694,0.02402729,1.439268436
monsoon,salyer,DO,5.92266315,10.10818584,-0.016938627,0.014203021,0.822524755
snowmelt,salyer,DO,7.91187746,10.33674166,-0.008613497,0.006400127,0.504850796
winter_baseflow,salyer,DO,6.403195047,13.44531582,-0.030893732,0.025207647,1.485290426
fall_baseflow,salyer,ORP,0.189801198,0.457199981,-8.64E-04,7.53E-04,0.068580852
monsoon,salyer,ORP,0.220654039,0.373575504,-9.49E-04,7.45E-04,0.033043747
snowmelt,salyer,ORP,0.222598371,0.377386673,-0.001184593,0.001025037,0.027397024
winter_baseflow,salyer,ORP,0.046448616,0.405359599,-0.001531951,0.001420384,0.089241388
fall_baseflow,salyer,pH,7.636208081,9.388366032,-0.008183495,0.007740396,0.438575746
monsoon,salyer,pH,7.471052532,9.10210968,-0.007665232,0.006106744,0.374296991
snowmelt,salyer,pH,7.408953786,8.301337194,-0.006720832,0.006093469,0.161502986
winter_baseflow,salyer,pH,7.717143745,9.428494339,-0.007652451,0.007339539,0.451417557
fall_baseflow,salyer,Specific Conductivity,104.443045,401.4281189,-0.938113831,0.82393984,82.8783822
monsoon,salyer,Specific Conductivity,68.889953,360.4965997,-0.42748759,0.312777588,61.92425294
snowmelt,salyer,Specific Conductivity,45.46978764,164.6327003,-0.360172119,0.372305196,27.92605595
winter_baseflow,salyer,Specific Conductivity,103.5776929,378.1277151,-0.82627479,0.819907633,60.68452764
fall_baseflow,salyer,Temperature,0.211005631,18.22663454,-0.012750104,0.026890455,4.013152552
monsoon,salyer,Temperature,11.67127333,22.62643166,-0.01748555,0.033067474,2.28676521
snowmelt,salyer,Temperature,7.214554482,18.5539669,-0.013247818,0.027445189,2.391046101
winter_baseflow,salyer,Temperature,0.997413421,17.07331812,-0.016807952,0.035426708,3.41743095
fall_baseflow,salyer,Turbidity,0.423623201,46.08741348,-1.680373478,1.579665677,5.020133907
monsoon,salyer,Turbidity,0.317009386,260.176196,-3.284176595,3.002244316,21.6954957
snowmelt,salyer,Turbidity,3.936795602,261.8933411,-10.67139958,10.09770446,32.28027056
winter_baseflow,salyer,Turbidity,0.628428648,166.1063812,-9.845484564,8.484962362,11.32630325
fall_baseflow,sfm,Chl-a Fluorescence,0.408622079,3.352492562,-0.045432965,0.040161036,0.979866575
monsoon,sfm,Chl-a Fluorescence,0.029167308,2.421719692,-0.038,0.036665269,0.561783626
snowmelt,sfm,Chl-a Fluorescence,0.028555892,1.441132964,-0.018338816,0.018613318,0.278135441
winter_baseflow,sfm,Chl-a Fluorescence,0.020696332,0.139660204,-0.012673002,0.010909948,0.007431937
fall_baseflow,sfm,Depth,0.155247662,0.37784352,-4.45E-04,5.80E-04,0.05106803
monsoon,sfm,Depth,0.051816,0.634067811,-6.77E-04,7.91E-04,0.128362136
snowmelt,sfm,Depth,0.318471734,0.836556497,-9.19E-04,0.001000959,0.118678942
winter_baseflow,sfm,Depth,0.345266029,0.453565637,-5.52E-04,7.51E-04,0.026604032
fall_baseflow,sfm,DO,8.04062036,10.77569744,-0.0050769,0.002694384,0.629977923
monsoon,sfm,DO,6.96190962,8.975955065,-0.004819873,0.002666667,0.465647518
snowmelt,sfm,DO,7.67824186,10.70680797,-0.00663738,0.003442517,0.703887915
winter_baseflow,sfm,DO,8.64354942,10.90329098,-0.007321426,0.006706983,0.631464721
fall_baseflow,sfm,FDOM Fluorescence,0.340520969,0.469660521,-4.97E-04,5.51E-04,0.027305034
monsoon,sfm,FDOM Fluorescence,0.381039896,0.561902275,-6.67E-04,6.67E-04,0.036644971
snowmelt,sfm,FDOM Fluorescence,0.510587173,2.704248461,-0.007249954,0.004618017,0.602172045
winter_baseflow,sfm,FDOM Fluorescence,1.450027538,2.32722627,-0.013641465,0.008214012,0.206696968
fall_baseflow,sfm,ORP,0.341696888,0.427492478,-4.69E-04,5.14E-04,0.022512546
monsoon,sfm,ORP,0.281977494,0.426609294,-9.13E-04,9.14E-04,0.024466215
snowmelt,sfm,ORP,0.193560699,0.34960102,-0.001557452,0.001126242,0.040582721
winter_baseflow,sfm,ORP,0.195553203,0.271598253,-8.22E-04,7.92E-04,0.018306284
fall_baseflow,sfm,pH,7,9,-0.006373277,0.006587812,0.064092978
monsoon,sfm,pH,7,9,-0.009529065,0.01,0.132167206
snowmelt,sfm,pH,7,9,-0.011320742,0.012148921,0.243837637
winter_baseflow,sfm,pH,7,9,-0.00366945,0.003389194,0.070910412
fall_baseflow,sfm,Specific Conductivity,35,48.7738056,-0.088877669,0.033190097,1.270606141
monsoon,sfm,Specific Conductivity,20,42.54237,-0.041755093,0.044321543,3.146622244
snowmelt,sfm,Specific Conductivity,20,66.0526015,-0.032702347,0.049170679,14.00518391
winter_baseflow,sfm,Specific Conductivity,35,62.34909088,-0.152717194,0.19043842,3.8846522
fall_baseflow,sfm,Temperature,0.03125608,11.48151206,-0.010214693,0.022939219,2.694330027
monsoon,sfm,Temperature,7.29,17.87547684,-0.013577167,0.027970555,2.389086912
snowmelt,sfm,Temperature,0.947228651,14.39683132,-0.01592601,0.030892604,3.098101115
winter_baseflow,sfm,Temperature,0.521188033,9.31888422,-0.026377677,0.028912325,2.52718679
fall_baseflow,sfm,Turbidity,1,9.235257395,-0.09632544,0.094155836,1.478599559
monsoon,sfm,Turbidity,1,49.50090994,-1.242241764,1.156349311,7.346430881
snowmelt,sfm,Turbidity,1,48.123688,-0.917384316,0.975863115,8.727590647
winter_baseflow,sfm,Turbidity,1,30,-1.187789465,1.945862853,10.50240427
fall_baseflow,udall,Chl-a Fluorescence,0.01054746,0.469173796,-0.022563859,0.025061347,0.053512617
monsoon,udall,Chl-a Fluorescence,0.012079414,46.1578717,-0.910432746,0.944022344,3.315318594
snowmelt,udall,Chl-a Fluorescence,0.009939572,1.761455301,-0.128498125,0.142910859,0.134753693
winter_baseflow,udall,Chl-a Fluorescence,0.014492188,1.070310867,-0.063162845,0.062708682,0.202914173
fall_baseflow,udall,Depth,0.072499276,0.368777968,-5.93E-04,6.48E-04,0.092392008
monsoon,udall,Depth,0.048025199,0.497957402,-0.00122002,0.001919281,0.119962594
snowmelt,udall,Depth,0.075707775,1.31613899,-0.003423709,0.004784826,0.263994784
winter_baseflow,udall,Depth,0.080206116,0.726871494,-0.001393541,0.002015666,0.132541382
fall_baseflow,udall,DO,6.988778019,12.93146806,-0.013874591,0.015812302,1.264155481
monsoon,udall,DO,6.037873459,10.78108433,-0.017932429,0.014834314,0.886572271
snowmelt,udall,DO,7.61204958,10.52710819,-0.009214261,0.011255611,0.620030049
winter_baseflow,udall,DO,6.673235416,12.8148365,-0.015564267,0.014367781,1.307439901
fall_baseflow,udall,FDOM Fluorescence,0.297519827,0.827051587,-0.007553699,0.0053461,0.07176264
monsoon,udall,FDOM Fluorescence,0.186531901,1.065710402,-0.015440885,0.016787669,0.091358297
snowmelt,udall,FDOM Fluorescence,0.497038117,1.769836301,-0.008121282,0.006932741,0.319636003
winter_baseflow,udall,FDOM Fluorescence,0.403461756,1.265832547,-0.00155179,0.002123861,0.15545061
fall_baseflow,udall,ORP,0.250936094,0.447912828,-6.21E-04,5.66E-04,0.041142177
monsoon,udall,ORP,0.149558119,0.45591108,-9.16E-04,8.13E-04,0.060721325
snowmelt,udall,ORP,0.310969161,0.473560418,-5.75E-04,4.65E-04,0.048968577
winter_baseflow,udall,ORP,0.163498878,0.474822928,-6.25E-04,6.94E-04,0.07756787
fall_baseflow,udall,pH,7.748420324,9.161862221,-0.005036578,0.004741256,0.29691477
monsoon,udall,pH,7.540011177,9.045482216,-0.006809394,0.005920928,0.335630969
snowmelt,udall,pH,7.471043949,8.342481537,-0.004493523,0.004589403,0.178117396
winter_baseflow,udall,pH,7.672017617,9.12598937,-0.006263059,0.004516201,0.392621956
fall_baseflow,udall,Specific Conductivity,117.7042198,540.4029572,-0.652396301,0.309675751,127.9910323
monsoon,udall,Specific Conductivity,76.46149933,584.5429163,-1.042911458,0.417841187,123.843086
snowmelt,udall,Specific Conductivity,48.54562973,306.4618701,-1.448543605,0.387391866,44.30685584
winter_baseflow,udall,Specific Conductivity,102.2447995,452.1532867,-0.408298421,0.309817576,99.00138083
fall_baseflow,udall,Temperature,0.30688428,17.2322377,-0.010589486,0.022839691,3.962829251
monsoon,udall,Temperature,11.98009605,22.8291831,-0.014852062,0.028776844,2.263417881
snowmelt,udall,Temperature,7.030129647,18.60442871,-0.012656001,0.023091905,2.54368056
winter_baseflow,udall,Temperature,1.094985852,16.94231455,-0.013337566,0.027223307,3.507633509
fall_baseflow,udall,Turbidity,1.14665854,43.00017929,-1.464512665,1.39714347,6.710909134
monsoon,udall,Turbidity,0.647036723,305.5205814,-10.71592236,13.29895846,23.16355371
snowmelt,udall,Turbidity,3.340143499,363.2832355,-22.63315468,22.80830541,41.44726098
winter_baseflow,udall,Turbidity,0.11470878,76.96371674,-2.731046371,2.750028384,13.43982127
snowmelt,archery,Turbidity,0.11470878,534.0677631,-16.33531991,14.83898804,149.4454045
winter_baseflow,archery,Turbidity,0.11470878,65.35901947,-2.822458618,3.117496562,8.384794843